"Species","Longitude","Latitude"
"Aca_fla",-139.34,63.94
"Aca_fla",-162.55,66.89
"Aca_fla",-70.62,47.65
"Aca_fla",-70.53,46.27
"Aca_fla",-57.93,49.49
"Aca_fla",-52.68,47.58
"Aca_fla",-56.74,51.31
"Aca_fla",-135.74,67.18
"Aca_fla",-93.8,58.63
"Acc_coo",-107.18,37.23
"Acc_coo",-97.6,31.5
"Acc_coo",-82.48,33.79
"Acc_coo",-93.13,39.79
"Acc_coo",-78.96,39.78
"Acc_coo",-89.25,44.78
"Acc_coo",-92.5,45.96
"Acc_coo",-93.02,43.69
"Acc_coo",-93.02,29.77
"Acc_coo",-74.93,40.51
"Acc_coo",-108.47,37.44
"Acc_coo",-125.1,49.64
"Acc_coo",-101.48,46.49
"Acc_coo",-79.7,35.92
"Acc_coo",-121.27,44.16
"Acc_coo",-96.9,38.99
"Acc_coo",-77.23,42.67
"Acc_coo",-86.46,30.97
"Acc_coo",-84.96,40.81
"Acc_coo",-81.23,37.8
"Acc_coo",-73.28,44.76
"Acc_coo",-81.93,37.81
"Acc_coo",-84.81,37.47
"Acc_coo",-104.93,50.63
"Acc_coo",-122.62,41.01
"Acc_coo",-92.45,30.08
"Acc_coo",-74.47,43.73
"Acc_coo",-78.18,42.62
"Acc_coo",-83.84,34.17
"Acc_coo",-76.11,45.55
"Acc_coo",-104.58,37.34
"Acc_coo",-81.67,30.93
"Acc_coo",-80.91,42.83
"Acc_coo",-104.77,37.62
"Acc_coo",-83.6,33.61
"Acc_coo",-118.7,48.23
"Acc_coo",-74.5,41.45
"Acc_coo",-107.69,39.76
"Acc_coo",-87.13,38.68
"Acc_coo",-120.15,49.72
"Acc_coo",-103.89,44.18
"Acc_coo",-74.52,40.4
"Acc_coo",-75.82,39.79
"Acc_coo",-98.65,29.87
"Acc_coo",-86.62,41.27
"Acc_coo",-81.96,27
"Acc_coo",-124.14,41.7
"Acc_coo",-112.46,37.33
"Acc_coo",-92.9,38.28
"Acc_coo",-87.54,40.08
"Acc_coo",-87.82,33.14
"Acc_coo",-76,42.36
"Acc_coo",-88.95,40.93
"Acc_coo",-85.94,38.66
"Acc_coo",-78.34,40.45
"Acc_coo",-116.33,47.55
"Acc_coo",-120.76,39.12
"Acc_coo",-86.28,32.13
"Acc_coo",-123.02,45.23
"Acc_coo",-76.77,40.48
"Acc_coo",-108.73,32.4
"Acc_coo",-115.63,40.35
"Acc_coo",-75.79,38.45
"Acc_coo",-91.19,45.71
"Acc_coo",-76,40.69
"Acc_coo",-81.05,32.75
"Acc_coo",-81.88,40.07
"Acc_coo",-97.15,29.21
"Acc_coo",-88.35,30.94
"Acc_coo",-79.16,39.5
"Acc_coo",-112.78,53.34
"Acc_coo",-85.41,43.71
"Acc_coo",-104.74,39
"Acc_coo",-82.73,42.1
"Acc_coo",-119.63,37.37
"Acc_coo",-93.81,46.24
"Acc_coo",-102.46,48.27
"Acc_coo",-91.08,43.07
"Acc_coo",-91.34,35.91
"Acc_coo",-74.39,41.27
"Acc_coo",-77.08,38.6
"Acc_coo",-123.82,41.88
"Acc_coo",-120.21,48.36
"Acc_coo",-99.25,39.77
"Acc_coo",-91.33,33.17
"Acc_coo",-89.21,31.96
"Acc_coo",-78.52,38.79
"Acc_coo",-122.56,43.91
"Acc_coo",-97.19,41.48
"Acc_coo",-120.16,42.06
"Acc_coo",-119.08,46.77
"Acc_coo",-112.65,51.78
"Acc_coo",-101.93,46.78
"Acc_coo",-86.67,36.51
"Acc_coo",-98.02,49.38
"Acc_coo",-93.34,30.01
"Acc_coo",-72.28,46.38
"Acc_coo",-75.29,40.43
"Acc_coo",-93.1,41.4
"Acc_coo",-82.53,39.97
"Acc_coo",-100.64,49.71
"Acc_gen",-113.99,52.61
"Acc_gen",-79.92,43.96
"Acc_gen",-119.82,38.78
"Acc_gen",-86.39,46.36
"Acc_gen",-106.17,53.58
"Acc_gen",-72.59,41.57
"Acc_gen",-76.1,43.65
"Acc_gen",-63.45,45.3
"Acc_gen",-112.98,54.5
"Acc_gen",-96.56,50.45
"Acc_gen",-110.83,40.88
"Acc_gen",-110.4,40.48
"Acc_gen",-105.8,36.08
"Acc_gen",-122.71,42.58
"Acc_gen",-145.35,60.47
"Acc_gen",-74.39,40.99
"Acc_gen",-103.65,44.21
"Acc_gen",-106.57,42.25
"Acc_gen",-115.15,50.69
