"longitude","latitude","cluster","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9"
-99.322589,19.176568,4,119,137,97,1131,232,10,94,661,37,321,37,152,70,1572,222,5,217,127,97
-99.537667,19.69974,4,132,153,108,927,190,12,89,532,42,258,48,154,68,1786,240,15,225,146,108
-93.930503,35.896638,1,138,240,31,1188,143,60,21,368,217,290,217,125,35,8119,315,-42,357,183,31
-94.003663,36.182815,1,137,243,26,1142,135,53,23,365,196,296,196,129,34,8385,318,-51,369,183,26
-94.186581,36.05197,1,141,245,30,1148,139,55,24,369,197,293,197,128,34,8318,321,-46,367,186,30
-92.850421,36.121056,1,143,246,32,1151,136,60,20,353,227,269,227,135,36,8230,325,-46,371,141,32
-92.208452,36.379151,1,140,246,24,1110,121,60,18,336,228,259,228,142,36,8559,331,-58,389,140,24
-92.438329,36.210563,1,143,248,28,1129,125,60,19,342,234,256,234,141,36,8463,332,-53,385,143,28
-94.836464,36.085187,1,150,255,38,1146,138,52,26,371,185,291,185,126,34,8401,330,-38,368,195,38
-86.696319,35.929829,1,142,244,34,1289,136,75,14,371,259,297,343,131,37,8128,317,-36,353,140,201
-83.468587,38.076437,1,119,223,8,1177,132,73,16,352,250,337,264,135,37,8314,300,-64,364,204,129
-84.675036,39.327823,1,116,228,-5,1057,115,67,17,315,217,289,217,121,32,8987,302,-70,372,113,-5
-83.61527,38.194662,1,120,225,7,1161,127,72,16,346,246,329,257,131,35,8415,301,-63,364,205,130
-84.395031,37.773739,1,130,234,17,1190,121,70,14,343,256,323,275,120,33,8401,304,-49,353,215,139
-86.605812,30.50676,2,191,268,109,1532,178,82,24,515,294,503,353,110,39,6285,320,44,276,265,152
-121.07728,36.58832,4,137,210,74,476,87,1,85,248,6,15,241,179,53,5461,335,-1,336,80,209
-121.106635,36.404745,4,144,211,83,378,69,1,85,201,5,12,193,187,55,5092,336,2,334,91,210
-120.951101,36.226291,4,143,212,80,354,67,1,86,190,4,12,185,189,55,5262,336,-3,339,89,211
-121.522267,37.638499,4,145,221,79,531,101,1,83,268,8,13,268,142,47,5682,326,24,302,79,219
-121.830272,37.972772,4,154,221,83,370,76,1,85,193,6,9,193,140,47,5419,320,26,294,83,219
-121.397942,36.671047,4,139,198,86,482,94,2,86,253,7,12,253,156,55,4437,299,17,282,86,195
-122.122896,37.590098,4,148,193,98,428,90,1,87,226,6,8,226,108,52,3712,253,46,207,98,189
-121.72946,37.643509,4,147,215,84,493,97,1,84,254,6,11,254,141,49,5160,314,27,287,84,212
-121.838086,38.339463,4,159,231,83,561,131,1,94,322,5,5,322,149,47,5839,340,25,315,83,231
-121.843149,36.925138,4,139,177,99,656,142,2,91,363,7,12,363,125,60,3050,245,38,207,99,173
-120.427605,34.879282,4,144,177,112,375,78,0,90,215,2,8,201,129,63,2586,244,42,202,115,172
-84.177645,30.043998,4,198,269,121,1499,203,75,31,543,257,543,332,129,45,5840,329,46,283,269,163
-101.712491,19.413294,4,157,179,131,1180,270,6,104,760,25,243,47,150,66,1856,271,45,226,166,154
-122.503507,47.391496,4,105,167,46,1167,191,21,62,554,89,89,505,95,40,4866,237,5,232,51,167
-122.992417,47.010522,4,104,168,44,1300,210,21,63,620,92,92,571,111,44,4949,251,3,248,48,168
-124.091825,41.758034,4,109,154,70,1997,342,9,74,986,67,83,918,107,54,3345,218,22,196,74,151
-123.930283,44.723963,4,104,151,60,2215,373,28,65,1056,137,142,993,92,48,3575,212,22,190,64,148
-122.193269,47.951572,4,101,161,46,975,134,29,44,399,118,118,364,83,39,4628,223,11,212,50,161
-124.128597,40.866189,4,116,152,83,1225,209,5,75,602,37,47,583,89,54,2737,203,40,163,87,149
-122.826255,45.279521,4,114,184,49,1063,176,17,59,491,85,89,451,113,42,5326,271,5,266,53,183
-122.374539,47.555918,4,108,171,50,982,153,21,58,451,88,88,409,86,38,4857,236,13,223,54,171
-122.12254,47.554444,4,103,166,45,1272,183,33,48,542,135,135,493,93,40,4822,236,8,228,48,166
-122.596348,47.161803,4,102,166,43,1057,170,21,58,494,91,91,442,104,42,4914,243,1,242,47,166
-122.055656,47.711962,4,103,166,46,1191,168,33,46,499,134,134,452,91,40,4784,234,8,226,49,166
-122.450278,48.678306,4,93,153,35,1116,152,39,42,449,137,137,407,89,39,4719,218,-5,223,38,153
-122.319353,46.901487,4,94,158,35,1372,197,32,49,587,144,144,532,107,43,4928,238,-7,245,39,158
-123.775537,39.276712,4,113,149,79,1104,201,3,81,563,20,33,552,111,59,2747,216,29,187,84,146
-123.970798,41.357773,4,107,159,59,1705,297,7,75,852,55,69,799,122,53,3954,239,9,230,63,156
-123.819183,39.750878,4,112,168,62,1611,294,4,83,838,28,47,817,134,53,4187,263,11,252,66,166
-124.101928,44.06866,4,106,153,64,2083,348,21,67,993,115,120,930,96,50,3479,214,23,191,68,148
-123.899792,46.009785,4,104,151,62,2002,311,36,60,907,149,162,855,88,48,3527,203,21,182,66,148
-121.764261,47.43057,4,78,145,17,2221,314,53,49,935,226,228,857,92,39,5064,217,-17,234,22,143
